20441,19427,23458,31361,34339,37480,39342,42222,43806,20528,14547,21231,28071,34189,36529,40621,42872,44748,24997,19819,25632,30398,35022,37654,39487,42651,44350,27826,26614,28611,32175,36582,38725,41563,44713,45223,30990,30455,32934,36900,42009,41041,42558,45005,45773,35639,34356,34630,37405,39951,42095,43427,45623,46845,37953,36948,36995,39465,41158,43384,45343,45522,47808,39698,39105,40987,41350,44073,44407,45987,47148,49015,44451,42663,41887,43758,44774,45982,47232,48360,49912
25320,22377,20023,25264,30930,34757,36758,39779,41420,26908,20644,14464,21518,29904,34705,37832,40869,43472,30742,23909,21800,24273,30773,34472,37226,41387,42846,31912,28724,26946,27961,33394,37612,40364,42832,43730,33887,32249,32553,34505,39831,38872,41355,44238,45128,37621,35541,34150,36517,38188,41450,42214,44828,45627,39654,39087,36971,38296,40064,42567,44320,44969,47548,41994,40333,41134,41544,43527,43853,45382,46304,49349,46206,43841,41855,43669,44283,45226,46573,48067,49816
29314,27297,21885,20117,25066,31146,34159,39460,40059,30568,27222,20450,14152,23606,29855,35178,39768,42008,34222,28277,26137,20195,24411,30117,34660,39184,41501,35016,32064,28745,25446,29129,33119,37748,42019,42018,36012,34621,34333,33531,37256,36625,39563,42306,44271,39800,37829,36014,35772,36375,39194,41127,42510,44779,41747,40768,38803,38343,38945,40992,42922,43033,46245,44407,42137,42562,41537,42295,43277,44045,45111,48222,47884,45335,43675,44901,43923,44842,45923,47059,49117
32599,30277,26245,21220,18916,23126,28846,34897,36626,33683,30682,25545,20169,14348,21171,28137,34713,38098,35833,31513,28996,22592,19520,22523,28416,34778,38032,37188,33559,31510,27152,25335,27801,32247,37224,38567,37622,36550,34749,32720,33159,31681,35615,38698,41201,40848,38599,36623,35320,33944,35356,37069,39121,41488,42828,40973,38519,37128,36482,37901,39521,40078,42755,44872,42795,41792,40474,40276,40078,41005,42164,44235,47754,45692,42812,42721,41948,41544,43163,44999,46163
35518,33779,30491,26628,21612,18617,22742,30972,34507,37256,34337,30000,25936,20922,13632,20829,30514,35146,39587,34829,33135,28158,23150,19023,21966,30782,35565,40649,36759,34104,30351,27679,26258,28315,33685,36374,40518,39311,37842,35426,35814,30934,32550,36309,38858,43288,41303,38909,37332,35121,35089,35041,36940,40597,45586,44212,40855,38998,37874,37830,37809,38326,41875,47681,45111,43408,42505,41682,40410,39779,40904,43737,50735,47666,45259,44096,43056,42127,42535,44063,46989
38888,36581,32893,30356,25886,21331,18620,24869,30062,39651,37497,33506,29847,25878,19740,14210,22528,30809,42003,37674,35534,31960,27734,23413,19328,24124,30354,42376,39465,36796,33610,30788,28062,25757,29309,32522,42820,41368,39595,37266,36698,32053,31750,33268,36318,45514,42794,40715,39350,36310,36866,34375,35433,38442,47593,46040,42338,41018,39188,38526,37901,37657,40895,49268,46629,45333,43650,42063,40909,39428,40582,41870,52928,49407,46402,45546,43932,42551,42245,42770,45422
41041,39535,36631,33146,29734,24947,20348,19727,22636,42673,40740,36683,33413,29087,25072,19866,14524,22055,43988,39785,38244,34618,31423,27457,22336,19643,22976,44647,41639,39078,35445,33326,30451,26957,25928,27423,45395,43151,41110,39091,37356,33027,32111,31520,32032,47543,45441,42512,40752,37994,37079,34720,33845,34607,49267,47661,44278,41889,40619,38706,37769,36279,37495,50885,48373,46320,44795,42972,41022,39816,39360,39731,53244,50273,47697,46343,44541,42864,41841,41793,42695
44123,42915,39393,36405,32306,28928,25015,21526,18419,45668,43276,39762,36297,32720,29504,25552,20745,14227,46961,43160,41092,37097,34654,31428,27450,23291,19703,47079,44691,42342,39388,35952,33579,31035,28263,25261,48016,45682,43655,40762,39482,36065,34051,32225,30733,50009,47923,45247,43038,40120,38220,36137,34657,34236,51425,49599,46924,44301,41775,39931,39115,36844,36888,52588,50282,48134,46511,44941,42980,40790,39560,39106,55205,52156,49418,48257,46077,44435,42555,42181,42577
22488,25441,30074,34758,37717,39347,41204,43954,45613,18332,22246,27882,32927,36443,38922,41135,44327,46607,14570,20418,28565,31955,36460,38872,40988,44762,46086,19536,23087,28740,33312,36692,39243,42000,45059,47461,24451,26226,32324,36171,39905,40652,42614,44776,47165,29619,31247,33867,37374,39983,42234,43546,45770,47898,33131,34724,35653,38503,40985,42704,44488,45697,48309,35881,35469,38405,39870,42850,43882,44983,46486,49263,39757,39377,39359,41640,43665,44657,45805,47077,49333
24085,23445,27373,32168,35437,38269,39111,41624,44181,21757,19442,22506,29303,34221,37050,39356,42369,44444,22383,14499,23817,28790,33909,36773,39302,42185,44270,24304,20030,23700,29604,35094,38086,40845,43492,44688,27408,25931,30245,34777,40570,39409,42159,44033,45488,32669,31759,31487,35852,39145,42134,43117,44843,47168,35930,35452,35414,37702,40849,42972,44520,45618,47248,38374,37262,39077,39656,43028,43625,45181,46973,48510,43234,40816,40420,42808,44059,45072,46407,48094,49781
